#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	2	4	0	244	252	186	804	77	0	1	109	68	14	118	131	80	232	0	196	580	81	131	6	153	12	14	0	170	33	24	27	84	11	10	3	5	150	20	190	12	89	112	2	0	6	23	4	3	36	5	37	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Bacillaceae_1._.g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Listeriaceae._.g__Listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Staphylococcaceae._.g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Carnobacteriaceae._.g__Granulicatella	0	0	0	0	1	0	0	1	0	2	0	1	2	0	1	2	4	1	0	2	1	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	3	1	2	0	1	0	0	1	0	0	1	0	0	3	1	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__Enterococcus	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	245	1	2	3	0	0	0	0	2	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	2	2	1	0	0	4	1	0	0	0	0	1	0	2	9	43	7	0	1	6	30	0	0	0	0	6	1	719	0	2	22	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	1	68	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Leuconostocaceae._.g__Weissella	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	1	0	0	4	0	0	0	0	4	0	0	0	0	4	18	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Lactococcus	1	2	0	0	0	64	0	1	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	4	0	0	0	0	0	0	0	2	1	3	0	0	1	9	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Streptococcus	4	2	15	5	4	4	1	164	3	4	6	0	82	3	6	389	812	91	15	37	5	11	6	0	1	8	12	4	38	7	1	0	313	55	102	25	55	69	8	19	3	3	22	11	81	9	22	2	8	45	79	1
